# Constructed from biom file
#OTU ID	SAMPLE1_PE
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae	57.0
Bacteria;Bacillota;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae	94.0
Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae	8879.0
Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae	6212.0
Bacteria;Bacillota;Clostridia;Clostridiales;Clostridiaceae	96.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae	7.0
Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae	121.0
Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	9.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae	2690.0
Bacteria;Bacillota;Clostridia;Oscillospirales;Butyricicoccaceae	184.0
Bacteria;Bacillota;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae	211.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis	155.0
Bacteria;Bacillota;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group	155.0
Bacteria;Bacillota;Clostridia;Monoglobales;Monoglobaceae	178.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	180.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	198.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Eggerthellaceae	62.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	1107.0
Bacteria;Bacillota;Bacilli;Erysipelotrichales;Erysipelotrichaceae	7.0
Bacteria;Bacillota;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae	6.0
Bacteria;Bacillota;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae	128.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Pasteurellaceae	3.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	8.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae	6.0
